subject,text,category
"Executive Summary: Contract Terms & Legal Review","Attached is the modified vendor contract incorporating our revised indemnification clauses. Please review before signing off on the agreement.","Important"
"Critical Bug in Authentication Service - Patch Required","We discovered an unhandled token expiration bug affecting active mobile sessions. Engineers are requested to cherry-pick the hotfix branch immediately.","Important"
"Flash Sale: Up to 70% Off Electronics & Home Appliances!","Big savings alert! Shop our summer mega sale today and take up to 70% off laptops, headphones, and home electronics. Use promo code FLASH70 at checkout.","Promotions"
"Special Discount: 30% Off Your Next Purchase at TechStore","We miss you! Take 30% off your entire cart using code SAVE30. Free express shipping on all orders above $50. Hurry, sale ends Sunday midnight!","Promotions"
"Limited Time Offer: Get 3 Months of Premium Subscription Free","Upgrade to Premium today and enjoy ad-free music, offline listening, and high-definition audio quality. First 3 months completely free for returning members!","Promotions"
"Don't Miss Out: Buy 1 Get 1 Free on All Fashion Apparel","Refresh your wardrobe with our latest autumn collection! Buy one item and get the second item absolutely free. Online and in-store offer valid this week.","Promotions"
"Exclusive VIP Early Access: New Product Launch Event","As a valued member, get exclusive early access to pre-order our next-generation smart watch before public release. Extra 15% discount included for VIPs.","Promotions"
"Clearance Sale Extended! Extra 20% Off Outlet Items","Great news! We extended our clearance sale. Save up to 80% on end-of-season items. Discount automatically applied at checkout while supplies last.","Promotions"
"Your Monthly Bank Account Statement is Now Available","Dear Customer, your bank account statement for the month of July is ready to view. Log into your secure online banking portal or mobile app to download the statement.","Banking"
"Account Alert: Debit Card Transaction of $149.50 at Amazon","Alert: A transaction of $149.50 was authorized on your debit card ending in 4821 at Amazon. If you did not authorize this payment, please call our fraud helpline immediately.","Banking"
"Fund Transfer Successful: $1,200.00 Sent to John Smith","Your wire transfer of $1,200.00 to John Smith (Account ***9812) was successfully processed. Reference ID: TXN98321049. Balance updated.","Banking"
"Your Credit Card Bill Payment is Due in 3 Days","Reminder: Your minimum payment of $85.00 for credit card ending in 1102 is due on August 5th. Set up Auto-Pay to avoid late payment fees and interest charges.","Banking"
"Mortgage Interest Rate Update & Refinancing Offer","Explore low interest rate refinancing options for your home loan. Save hundreds on monthly mortgage payments with our customized fixed-rate plans.","Banking"
"Overdraft Protection Notice & Account Balance Summary","Your checking account balance fell below your designated minimum threshold of $100. Overdraft protection was successfully triggered to cover recent pending charges.","Banking"
"Application Status: Senior Full Stack Engineer at TechCorp","Thank you for applying for the Senior Full Stack Engineer position at TechCorp. We reviewed your profile and would love to schedule a 30-minute technical interview.","Jobs"
"Job Offer Letter: Senior Software Developer Role","Congratulations! We are delighted to formally offer you the position of Senior Software Developer at Innovate AI Solutions. Please review the attached offer letter and compensation package.","Jobs"
"New Candidate Referral & Resume Screening Update","Hi Recruiter, attached is the resume of a qualified candidate for the Lead Data Scientist role. Candidate has 6 years experience in Python, PyTorch, and NLP models.","Jobs"
"Interview Confirmation: Frontend Developer Technical Assessment","Your live coding assessment with our Principal Frontend Engineer is confirmed for Thursday at 2:00 PM EST. Please ensure Node.js and IDE are installed prior to the call.","Jobs"
"Weekly Job Alerts: 15 New React & Python Engineer Openings","Based on your profile, here are 15 new job matches in your area including Remote Software Engineer, Machine Learning Engineer, and Full Stack Architect roles.","Jobs"
"Invitation to Take Online Technical Screening Test","You have been invited to complete a 60-minute online coding challenge on HackerRank for the Software Engineer opening at CloudScale Inc.","Jobs"
"Admit Card Released: National Graduate Examination 2026","Dear Candidate, your admit card for the upcoming National Engineering Graduate Entrance Examination is now available for download. Check exam center details online.","Examinations"
"Final Exam Schedule & Classroom Seating Allocation","Attention Students: The final semester examination timetable for Computer Science & Engineering has been published. Exams commence on August 15th at 9:00 AM.","Examinations"
"Important Update: Online Proctored Exam Guidelines & Rules","Please review the mandatory proctoring rules for your upcoming certification exam. Webcams, microphones, and photo ID validation are required prior to test start.","Examinations"
"Grade Sheet Published: Data Structures & Algorithms Test","Your exam results for CS301 Data Structures and Algorithms have been uploaded. Log into the student portal to view your numerical grade and GPA breakdown.","Examinations"
"Certification Exam Result: Pass with Distinction","Congratulations! You successfully passed the Cloud Certified Solutions Architect Exam with a score of 920/1000. Your official digital badge is attached.","Examinations"
"Hall Ticket & Examination Center Guidelines","Download your official hall ticket for the competitive entrance exam. Remember to bring a printed copy along with valid government photo identification.","Examinations"
"Order Confirmation #94821 - Thank you for your order!","Your order #94821 has been placed successfully. We are processing your items and will notify you as soon as your package ships out with tracking info.","Purchases"
"Your Package Has Been Shipped! Track Your Shipment Here","Good news! Package containing Wireless Noise Canceling Headphones has shipped via FedEx. Expected delivery date: Friday, August 2nd. Tracking #: 78291039821.","Purchases"
"Receipt for Your Payment to Apple Store - $999.00","Thank you for your purchase. Invoice #INV-883921. Total paid: $999.00 for MacBook Air 15-inch. Order billed to Visa ending in 5521.","Purchases"
"Out for Delivery: Your Amazon Package will arrive today","Your package containing Stainless Steel Water Bottle is out for delivery today between 1:00 PM and 5:00 PM. Track driver location on live map.","Purchases"
"Refund Processed: $45.99 Returned to Original Payment Method","We received your returned item and processed a full refund of $45.99 to your credit card. Please allow 3 to 5 business days for funds to post.","Purchases"
"Subscription Invoice: Monthly Cloud Hosting Plan - $29.00","Invoice #9921 for Cloud Server Standard Tier ($29.00/mo). Payment successfully processed via PayPal. Next billing cycle starts next month.","Purchases"
"Sarah commented on your post: 'Amazing photos from the trip!'","Sarah left a comment on your recent photo album: 'These photos look absolutely breathtaking! Let's catch up soon.' View comment on Social App.","Social"
"Alex sent you a connection request on LinkedIn","Alex Johnson, Engineering Manager at Tech Corp, sent you an invitation to connect on LinkedIn. View profile and accept connection request.","Social"
"You have 5 new notifications and 2 direct messages","Catch up on what you missed this week: 5 people liked your update, and Mark sent you a direct message regarding the weekend meetup.","Social"
"Friend Request from David Miller","David Miller sent you a friend request. You have 14 mutual friends including Emily, Michael, and Jessica. Click to view profile.","Social"
"Group Update: Developers Community posted a new event","The Developers Community group posted a new virtual meetup event: 'Building Scalable Microservices with Python & Docker'. Register to attend.","Social"
"Trending Story: 10 Best Practices for Modern Frontend UX","See what tech leaders are sharing today in your network. Read trending articles, top discussions, and community posts on your dashboard.","Social"
"Family Dinner Next Sunday at Mom's Place - Let us know!","Hey! Mom wanted me to check if you're free for dinner next Sunday at 6 PM. Let us know if you can make it so we can cook your favorite dish!","Personal"
"Weekend Camping Trip Planning & Gear Checklist","Hey man, excited for our camping trip this weekend! I packed the tent, sleeping bags, and portable stove. Bring your hiking boots and trail snacks!","Personal"
"Happy Birthday! Wishing you a wonderful year ahead","Happy Birthday! Hope you have an awesome day celebrating with friends and family. Wishing you happiness, good health, and success always!","Personal"
"Catching up: How have you been? Let's grab coffee!","Hey! It's been way too long since we last chatted. Are you free sometime this week to grab a cup of coffee and catch up on life?","Personal"
"Photos from Last Night's Birthday Party!","Hey, here are all the high-res photos we took during the party yesterday. Feel free to save your favorites and share with everyone!","Personal"
"Checking in on your relocation to the new city","Hi! Just wanted to check in and see how the move went. Hope you're settling in nicely at your new apartment. Let me know if you need anything!","Personal"
"Terms of Service & Privacy Policy Updates - Effective August","We are updating our Privacy Policy and Terms of Service to improve data transparency and user control. Please review the updated policy agreement online.","Updates"
"System Maintenance Announcement: Scheduled Downtime on Saturday","Notice: Our platform will undergo routine database maintenance on Saturday from 2:00 AM to 4:00 AM UTC. Some services may be temporarily unavailable.","Updates"
"Product Release Notes: Version 3.4.0 Features & Enhancements","We released version 3.4.0! Features include dark mode support, upgraded search performance, export to CSV, and enhanced mobile responsiveness.","Updates"
"Security Policy Notice: Two-Factor Authentication Requirement","Starting next month, 2-Factor Authentication (2FA) will be mandatory for all workspace admin accounts to safeguard sensitive project data.","Updates"
"App Update Available: Download Version 2.1 for iOS & Android","An updated version of our mobile app is now available on App Store and Google Play Store. Includes faster page loads and bug fixes.","Updates"
"Workspace Permissions Changed by Organization Admin","Your permissions in the Engineering Workspace have been updated to Manager. You now have permission to manage team member roles.","Updates"
"Community Guidelines Announcement & Forum Moderation Policy","We updated our online community guidelines to ensure a welcoming environment for all members. Read the guidelines before posting.","Others"
"Survey: Help Us Improve Your Workspace Experience","We would love your feedback! Please take 3 minutes to answer our user experience survey and share your suggestions with our product team.","Others"
"Weekly Digest: Highlights & Top Stories of the Week","Here is your weekly digest of top stories, articles, and curated community discussions from across the technology industry.","Others"
"Lost & Found Item Inquiry: Blue Backpack Left in Conference Room","Did anyone leave a blue JanSport backpack in Conference Room B after yesterday's presentation? Please contact front desk reception to claim.","Others"
"Office Facility Update: Parking Garage Maintenance Schedule","The P2 level parking garage will undergo floor painting this Thursday. Please park on levels P1 or P3 on Thursday morning.","Others"
"Your Google Verification Code: 492019","Use code 492019 to verify your identity. Do not share this 2FA passcode with anyone. This OTP code will expire in 10 minutes.","OTP"
"Chase Security Passcode: 882103","Use OTP code 882103 to authorize your online banking login transaction. Valid for 5 minutes. Do not disclose to anyone.","OTP"
"Amazon Two-Factor Authentication Code","Your Amazon OTP verification code is 301928. Enter this code on the verification page to sign in to your account.","OTP"
"Microsoft Auth 2FA Code: 592014","Security code: 592014 for account sign-in verification. If you did not request this OTP code, please change your password.","OTP"
"Bank One Time Password (OTP) Alert","One Time Password (OTP) for your online transfer of $150.00 is 773910. Do not share this code with anyone including bank staff.","OTP"
"HDFC Bank OTP for Online Payment","Your OTP for transaction at Merchant Store for INR 2,500 is 338190. Do not share OTP for security reasons.","OTP"
"WhatsApp Verification Code","Your WhatsApp verification code is 449-201. Do not share this one-time password with anyone. Valid for 10 minutes.","OTP"
"Paytm OTP for Transaction","OTP for your Paytm transaction of INR 500 is 994820. Do not share this code with anyone. Valid for 5 minutes.","OTP"
"URGENT: Share Your OTP to Claim Lottery Prize","Congratulations! You won a lottery. A bank representative will call you. Please share the OTP you received to verify your account and claim your prize immediately!","Spam"
"Bank Security Alert - Share OTP Immediately","Your account is under review. Please forward the OTP sent to your phone to our customer care to avoid account suspension. Provide OTP now.","Spam"
"Team Standup Summary - August 6 2026","Hi Team, here are today's standup notes and action items. Sprint velocity is on track. Please update your Jira tickets before EOD.","Office"
"HR Policy Update: Work From Home Guidelines 2026","Dear Employee, the company has updated its Work From Home policy effective September 1. All employees must be in office 3 days a week.","Office"
"Your July 2026 Payslip is Ready","Your monthly salary slip for July 2026 has been generated. Please download it from the HR portal. Contact HR for any discrepancies.","Office"
"Office Closure: National Holiday August 15","The office will be closed on August 15 2026 for Independence Day. Project leads please ensure critical tasks are covered in advance.","Office"
"Support Ticket #44821 Created Successfully","Thank you for reaching out! Your support ticket #44821 has been received. Our customer support team will respond within 24 business hours.","Customer Support"
"Case #88120 Resolved - Please Rate Your Experience","Great news! Your support case #88120 has been resolved. We hope the solution was helpful. Please share your feedback via the link below.","Customer Support"
"Your Complaint Has Been Escalated - Case #3301","We have escalated your complaint #3301 to the senior team. We apologize for the delay and aim to resolve this within 48 hours.","Customer Support"
"We Received Your Query - Ticket Tracking ID: CS-9921","Thank you for contacting us. Your query has been logged with tracking ID CS-9921. You will receive an update within 24 hours.","Customer Support"
"Hotel Booking Confirmed - Grand Hyatt Mumbai","Your hotel reservation at Grand Hyatt Mumbai is confirmed. Booking ID: BK-448210. Check-in: Aug 15. Check-out: Aug 18.","Bookings"
"Restaurant Table Reserved - The Spice Garden 7 PM","Your table for 2 at The Spice Garden on August 10 at 7 PM is reserved. Booking Reference: SG-2291. Please arrive on time.","Bookings"
"Appointment Confirmed: Dr. Verma - Aug 12 at 10 AM","Your appointment with Dr. Verma at Apollo Hospital is confirmed for August 12 at 10:00 AM. Please bring your previous reports.","Bookings"
"Slot Booked: Passport Appointment - August 20","Your passport appointment at Passport Seva Kendra has been successfully booked for August 20 at 11:30 AM. Reference: PSK-88210.","Bookings"
"IndiGo Flight Confirmed - PNR: BX8821","Your IndiGo flight 6E-209 from Hyderabad to Mumbai on Aug 18 is confirmed. PNR: BX8821. Web check-in opens 48 hours before departure.","Travel"
"Boarding Pass Available: Air India AI-131","Your boarding pass for Air India flight AI-131 is ready. Seat 22B. Departure: Mumbai 7:00 AM. Please reach the airport 2 hours early.","Travel"
"Train Ticket Confirmed: Shatabdi Express - PNR: 4820291938","Your Shatabdi Express ticket from Bangalore to Chennai on August 14 is confirmed. PNR: 4820291938. Coach C4 Seat 32.","Travel"
"Ola Outstation Trip Confirmed - Bangalore to Mysore","Your outstation Ola cab trip from Bangalore to Mysore on Aug 10 at 6 AM is confirmed. Driver will contact you 30 mins before pickup.","Travel"
"Visa Approved: UK Visitor Visa","Congratulations! Your UK Visitor Visa has been approved. Visa validity: August 20 to September 20 2026. Please collect your passport.","Travel"
"Your Blood Test Report is Ready - Thyrocare","Dear Patient, your blood test report from Thyrocare is now available online. Login to view your CBC and lipid panel results.","Healthcare"
"Doctor Appointment Reminder - Dr. Singh Tomorrow at 11 AM","This is a reminder for your appointment with Dr. Singh (Orthopedics) at Max Hospital tomorrow at 11:00 AM. Please be on time.","Healthcare"
"Prescription Ready for Pickup at MedPlus","Your prescription for Atorvastatin 10mg is ready for pickup at MedPlus Pharmacy. Reference: MP-3300. Open till 9 PM today.","Healthcare"
"Annual Health Checkup Report Available","Your annual health checkup report from Narayana Health is ready. Please log in to download your comprehensive diagnostic summary.","Healthcare"
"Vaccination Appointment Confirmation - Flu Shot","Your flu vaccination appointment at Apollo Clinic is confirmed for August 12 at 9:30 AM. Please carry a valid photo ID.","Healthcare"
"The Weekly Tech Digest - Issue 142","This week in tech: Google DeepMind announces Gemini 2.5 Ultra. Read about the latest AI breakthroughs open source releases and startup news.","Newsletters"
"August Edition: Developer Monthly Newsletter","Welcome to the August edition! Featuring top tutorials tips and tricks for Python React and DevOps. Plus a spotlight on open source projects.","Newsletters"
"Product Update Digest - What is New This Month","New this month: Improved dashboard performance 3 new integrations and redesigned analytics. Read the full product digest inside.","Newsletters"
"Unsubscribe Successful - No More Emails","You have been successfully unsubscribed from our weekly newsletter. You will no longer receive our email digest. Resubscribe anytime.","Newsletters"
"Community News: Dev Circle August 2026","Welcome to the August edition of Dev Circle Newsletter! Top picks this month include web performance guides and career advice columns.","Newsletters"

